site1,site2,distance
19,33,0.536
19,34,0.328
19,35,0.5733333333333334
19,36,0.5733333333333334
19,37,0.52
19,38,0.512
19,39,0.5226666666666666
19,40,0.7386666666666667
19,41,0.5413333333333333
19,42,0.4693333333333333
19,43,0.5546666666666666
19,44,0.6693333333333333
19,45,0.648
19,46,0.29049531459170014
19,47,0.49066666666666664
19,48,0.7066666666666667
19,49,0.736
20,1,0.568
20,2,0.808
20,3,0.9066666666666666
20,4,0.712
20,5,0.7946666666666666
20,6,0.76
20,7,0.5653333333333334
20,8,0.7493333333333333
20,9,0.6373333333333333
20,10,0.656
20,11,0.36533333333333334
20,12,0.5946666666666667
20,13,0.6933333333333334
20,14,0.7973333333333333
20,15,0.5626666666666666
20,16,0.5786666666666667
20,17,0.744
20,18,0.5386666666666666
20,19,0.304
20,20,0
20,21,0.5973333333333334
20,22,0.2693333333333333
20,23,0.728
20,24,0.6186666666666667
20,25,0.6133333333333333
20,26,0.472
20,27,0.8266666666666667
20,28,0.792
20,29,0.7813333333333333
20,30,0.5546666666666666
20,31,0.8826666666666667
20,32,0.8346666666666667
20,33,0.624
20,34,0.38666666666666666
20,35,0.664
20,36,0.64
20,37,0.7333333333333333
20,38,0.6426666666666667
20,39,0.6613333333333333
20,40,0.8026666666666666
20,41,0.7226666666666667
20,42,0.5653333333333334
20,43,0.6613333333333333
20,44,0.768
20,45,0.8053333333333333
20,46,0.4779116465863454
20,47,0.672
20,48,0.784
20,49,0.8613333333333333
21,1,0.6053333333333333
21,2,0.568
21,3,0.7573333333333333
21,4,0.5413333333333333
21,5,0.592
21,6,0.7066666666666667
21,7,0.4266666666666667
21,8,0.6266666666666667
21,9,0.4613333333333333
21,10,0.488
21,11,0.6426666666666667
21,12,0.44533333333333336
21,13,0.504
21,14,0.656
21,15,0.7546666666666667
21,16,0.7626666666666667
21,17,0.5413333333333333
21,18,0.512
21,19,0.44266666666666665
21,20,0.5973333333333334
21,21,0
21,22,0.5146666666666667
21,23,0.6106666666666667
21,24,0.38666666666666666
21,25,0.408
21,26,0.45866666666666667
21,27,0.6
21,28,0.5173333333333333
21,29,0.528
21,30,0.4613333333333333
21,31,0.688
21,32,0.48533333333333334
21,33,0.488
21,34,0.45066666666666666
21,35,0.42933333333333334
21,36,0.376
21,37,0.488
21,38,0.44533333333333336
